Posted On,BHK,Rent,Size,Offered Floor,Total Floors,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent per Sq M,Avg Rent in Locality
2022-05-18,2,10000,1100,1,2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.09,8250.0
2022-05-13,2,20000,800,2,3,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,25.0,11750.0
2022-05-16,2,17000,1000,2,3,Super Area,Salt Lake City Sector 2,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,17.0,23187.5
2022-05-17,2,6000,600,2,2,Super Area,Barasat,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10.0,6200.0
2022-05-28,1,8000,400,2,2,Super Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,20.0,11500.0
2022-05-22,2,7000,1000,1,2,Super Area,Rajarhat,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,7.0,9750.0
2022-05-27,1,6000,300,1,3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,20.0,30250.0
2022-05-26,3,30000,2000,1,2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,15.0,10900.0
2022-05-12,3,15000,1068,1,3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,14.04,13375.0
2022-05-14,2,11000,900,5,6,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,12.22,11000.0
2022-05-14,1,3500,250,1,4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,14.0,5000.0
2022-05-05,2,7500,600,1,2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.5,7250.0
2022-05-30,2,6500,700,1,2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9.29,8250.0
2022-05-22,3,40000,1500,1,2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,26.67,25500.0
2022-05-03,2,6500,700,1,2,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9.29,10375.0
